customer_id,first_name,last_name,email,country,signup_date
1,First1,Last1,,DE,2023-03-21
2,First2,Last2,user2@example.com,AU,2023-08-04
3,First3,Last3,user3@example.com,CA,2023-03-11
4,First4,Last4,user4@example.com,US,2023-02-24
5,First5,Last5,user5@example.com,GB,2022-12-27
6,First6,Last6,user6@example.com,CA,2024-04-27
7,First7,Last7,user7@example.com,AU,2023-06-18
8,First8,Last8,user8@example.com,CA,2024-01-30
9,First9,Last9,user9@example.com,US,2023-09-07
10,First10,Last10,user10@example.com,DE,2023-05-09
11,First11,Last11,user11@example.com,DE,2023-09-07
12,First12,Last12,user12@example.com,US,2023-03-11
13,First13,Last13,user13@example.com,CA,2023-11-29
14,First14,Last14,user14@example.com,AU,2023-08-24
15,First15,Last15,user15@example.com,FR,2024-03-11
16,First16,Last16,user16@example.com,AU,2023-02-15
17,First17,Last17,user17@example.com,AU,2023-12-02
18,First18,Last18,user18@example.com,GB,2023-02-06
19,First19,Last19,user19@example.com,GB,2023-09-19
20,First20,Last20,user20@example.com,FR,2023-03-10
21,First21,Last21,user21@example.com,DE,2023-12-05
22,First22,Last22,user22@example.com,AU,2023-06-29
23,First23,Last23,user23@example.com,GB,2023-02-08
24,First24,Last24,user24@example.com,FR,2023-08-04
25,First25,Last25,user25@example.com,AU,2023-08-30
26,First26,Last26,user26@example.com,US,2023-07-09
27,First27,Last27,user27@example.com,DE,2023-07-19
28,First28,Last28,user28@example.com,GB,2024-01-11
29,First29,Last29,user29@example.com,FR,2023-10-15
30,First30,Last30,user30@example.com,AU,2024-01-06
31,First31,Last31,user31@example.com,GB,2024-03-10
32,First32,Last32,user32@example.com,CA,2023-08-06
33,First33,Last33,user33@example.com,FR,2023-08-23
34,First34,Last34,user34@example.com,GB,2024-01-09
35,First35,Last35,user35@example.com,US,2024-04-15
36,First36,Last36,user36@example.com,GB,2023-03-19
37,First37,Last37,user37@example.com,FR,2024-02-02
38,First38,Last38,user38@example.com,FR,2023-12-22
39,First39,Last39,user39@example.com,US,2023-08-11
40,First40,Last40,user40@example.com,CA,2023-03-24
41,First41,Last41,user41@example.com,DE,2023-08-27
42,First42,Last42,user42@example.com,GB,2023-03-21
43,First43,Last43,,AU,2024-03-05
44,First44,Last44,user44@example.com,GB,2023-08-23
45,First45,Last45,user45@example.com,AU,2024-04-29
46,First46,Last46,user46@example.com,CA,2023-09-28
47,First47,Last47,user47@example.com,GB,2023-06-18
48,First48,Last48,user48@example.com,FR,2022-11-27
49,First49,Last49,user49@example.com,DE,2022-12-16
50,First50,Last50,user50@example.com,GB,2023-10-07
51,First51,Last51,user51@example.com,FR,2023-02-15
52,First52,Last52,user52@example.com,CA,2023-02-05
53,First53,Last53,user53@example.com,FR,2023-04-04
54,First54,Last54,user54@example.com,CA,2023-05-15
55,First55,Last55,user55@example.com,CA,2024-02-03
56,First56,Last56,user56@example.com,FR,2023-06-20
57,First57,Last57,user57@example.com,CA,2023-12-14
58,First58,Last58,user58@example.com,GB,2024-03-03
